Song,Artist/Album
Freedom,KYGO - Freedom
We Found Love,Calvin Harris - We Found Love
I Can't Get Enough,Selena Gomez  - I Can’t Get Enough
Scars To Your Beautiful,Alessia Cara - Know-It-All-Deluxe
Shallow,Lady Gaga  - Shallow
Bellyache,Billie Eilish - Bellyache
lovely,Billie Eilish - 13 Reasons Why-Season 2
Sorry,Halsey - hopeless fountain kingdom-Deluxe
"The Plan-From the Motion Picture ""TENET""","Travis Scott - The Plan-From the Motion Picture ""TENET"""
All Time Low,Jon Bellion - The Human Condition
Rescue Me,OneRepublic  - Rescue Me
If I Can't Have You,Shawn Mendes - If I Can't Have You
Be Kind,Halsey - Be Kind
Darkside,Tomine Harket - Darkside
Youngblood,5 Seconds Of Summer - Youngblood
Who Do You Love,5 Seconds Of Summer - World War Joy...Kills You Slowly
Beach House,The Chainsmokers - Beach House
Hall of Fame,Will I Am - Hall of Fame
Graveyard,Halsey - Graveyard
Trampoline,ZAYN - Trampoline
Falls (feat. Sasha Sloan),ODESZA - A Moment Apart (Deluxe Edition)
Say You Won't Let Go,James Arthur - Say You Won't Let Go
Umbrella,Rihanna  - Umbrella
